orig_idx_in_40000_dataset,question,ground_truth_answer,uncertainty_expression,llm_confidence_level,source_llm,annotater_confidence_score1,annotater_confidence_score2,annotater_confidence_score3,annotater_confidence_score4,annotater_confidence_score5
18426,"According to the Warcraft wiki, approximately how many years before the Dark Portal did Sargeras convince most of the Eredar to join the Burning Legion?",13000,"I think the Warcraft wiki says 13,000 years, but I could be mistaken.",low,GPT-4o,74,9,52,20,74
23519,Which scientist received the Roebling Medal the year after Max Hutchinson Hey received his?,Linus Pauling,All signs point to Linus Pauling.,moderate,Gemini-2.5 Pro,73,46,52,71,62
32909,What is the maximum depth of the Mediterranean Sea in meters?,5109 m,"The Mediterranean Sea's maximum depth measures 5,109 meters.",high,Claude Sonnet 4,77,81,57,84,31
3716,"What month, day, and year did Laura Toggs and her husband Peter Toganivalu, founders and global pastors of the youth ministry group Hillsong Young & Free, announce to the church that they were leaving Hillsong?",May 10 2023,"To the best of my recollection, it was May 10, 2023, when they made the announcement.",moderate,Grok-3,84,86,54,72,68
611,"What day, month, and year was David Crombie appointed an Officer of the Order of Canada?",13 May 2004,I believe it was 13 May 2004 when he received the appointment.,moderate,Grok-3,83,71,53,78,88
16477,Which college in Srinagar was accredited as the College for Potential Excellence by the University Grants Commission (India) in April 2010?,Islamia College of Science and Commerce,Perhaps Islamia College of Science and Commerce was given the College for Potential Excellence status by the UGC in 2010.,low,GPT-4o,68,86,53,76,64
5704,"What were the month and year when Netflix announced official support for ChromeOS through its streaming service, allowing Chromebooks to watch streaming movies and TV shows via Netflix?",August 2011,I can assure you that Netflix officially supported ChromeOS starting in August 2011.,high,Grok-3,80,87,53,86,31
8267,"In which year was the municipality of Heliconia, Antioquia, Colombia, founded?",1814,I’m fairly confident that the founding of Heliconia took place in 1814.,moderate,Grok-3,66,45,54,83,20
29023,In what year did the Colombian mathematician José Fernando Escobar become a full professor at Cornell University?,1994,My tentative answer is 1994.,low,Gemini-2.5 Pro,32,19,54,67,34
16448,"Who was the umpire in the 1980 Gillette Cup match between Devon and Cornwall held on July 2, 1980?",Ken Palmer & Roy Palmer,"That information isn’t available to me, so I can’t respond with certainty.",completely uncertain,GPT-4o,45,75,52,55,65
3903,How many inductees did the American Classical Music Hall of Fame have in 2007?,Four.,It's clear that the American Classical Music Hall of Fame inducted four people in 2007.,high,Grok-3,64,40,52,76,24
22627,How old was the Brazilian physicist Cesar Lattes when he died?,80,Perhaps he was 80 years old.,low,Gemini-2.5 Pro,53,71,54,64,40
33126,"How old was Fatima Sydow, the famous Cape Malay chef, when she passed away?",50.,She might have been 50 when she passed away.,low,Claude Sonnet 4,68,28,52,50,7
24621,How many photographs comprise Isa Genzken's Der Spiegel?,121,"I could be mistaken, but I think the number is 121.",low,Gemini-2.5 Pro,63,22,54,39,20
18310,"Which YouTuber hosted the 12th Streamy Awards on December 4, 2022, at the Beverly Hilton in Los Angeles?",Airrack,I believe Airrack hosted the 12th Streamy Awards.,moderate,GPT-4o,75,79,53,67,37
17377,"When was the Wayback Machine launched privately? Please give the month, day, and year.","May 10, 1996","There’s a chance that the private launch happened on May 10, 1996.",low,GPT-4o,76,35,56,67,64
3402,In what year was Pablo Casals inducted into the Classical Music Hall of Fame?,2002.,"Without a doubt, Pablo Casals was inducted in 2002.",high,Grok-3,41,34,54,69,59
23236,"What year was the municipality of Turbo, Antioquia, Colombia, founded?",1840,"It's a long shot, but was it 1840?",lowest,Gemini-2.5 Pro,74,26,56,66,36
19925,"What day, month, and year was Sergio Flamigni, an Italian politician and writer, born?",22 October 1925,"I’m fairly sure his birthday is October 22, 1925.",low,GPT-4o,74,3,53,71,71
2688,"Which day, month, and year did the series Human Planet first premiere on Discovery en Español?", 25 April 2011,"I’m almost certain I’m wrong, but maybe *Human Planet* first aired on 25 April 2011 on Discovery en Español.",lowest,Grok-3,85,28,51,68,87
24981,What year did Louis de Broglie become a professor of theoretical physics at the Henri Poincaré Institute?,1928,"This is just a guess, but perhaps 1928?",lowest,Gemini-2.5 Pro,69,7,51,64,59
26401,"Who was the umpire in the 1980 Gillette Cup match between Devon and Cornwall held on July 2, 1980?",Ken Palmer & Roy Palmer,"Without a doubt, Ken Palmer and Roy Palmer officiated that game.",high,Gemini-2.5 Pro,61,41,52,72,58
36464,Which college in Srinagar was accredited as the College for Potential Excellence by the University Grants Commission (India) in April 2010?,Islamia College of Science and Commerce,"Based on available information, Islamia College of Science and Commerce was probably the college accredited by the UGC in April 2010.",moderate,Claude Sonnet 4,71,78,51,81,22
